2000;plg;Sat May 05 06:16:19 CST 2007;Create release 1.7.0 from branch 1.7 r1999.
;1;0;0
2001;plg;Sat May 05 06:30:41 CST 2007;stable release required modifications: don't show version and generation
time in footer, don't check the upgrade feed, don't die on sql errors.
;0;1;0
2002;plg;Sat May 05 06:43:06 CST 2007;New version 1.7.0 hard coded (not replaced at release creation time).
;0;2;0
2003;plg;Tue May 08 06:00:47 CST 2007;Bug 538 fixed: when managing elements of a virtual category, dissociating
some elements of the current category now instantly removes the elements of
the element list.
;0;1;0
2004;rub;Tue May 08 18:12:14 CST 2007;Issue 0000619: bad result of cookie_path() function

I removed source code with PATH_INFO because this code generates problem on some environment and because I don't understand this utility (next substr extracts good value)

;0;1;0
2005;rub;Tue May 08 18:16:26 CST 2007;Issue 0000619: bad result of cookie_path() function

I removed source code with PATH_INFO because this code generates problem on some environment and because I don't understand this utility (next substr extracts good value)

Manual merge BSF 2004-2004 into branch_1.7;0;1;0
2006;rub;Sat May 12 04:07:47 CST 2007;Issue 0000619: bad result of cookie_path() function

After discussion with Radu of an other case, PATH_INFO is re-introduce with news conditions.
;0;4;0
2007;rub;Sat May 12 04:09:21 CST 2007;Issue 0000619: bad result of cookie_path() function

After discussion with Radu of an other case, PATH_INFO is re-introduce with news conditions.

Apply modifications from BSF (2006) ;-);0;1;0
2008;vdigital;Sun May 13 21:30:49 CST 2007;Change Language marker: From 1.8 (and following) all language updates are grouped below a comment line.
Developers are invited to respect this new rule to minimize translators efforts.;0;4;0
2009;rub;Mon May 14 04:47:25 CST 2007;Move language markers following last commit.;0;6;0
2010;rub;Tue May 15 05:08:53 CST 2007;Issue 0000619: bad result of cookie_path() function

Manage gallery install on directly on root directory
;0;1;0
2011;rub;Tue May 15 05:09:21 CST 2007;Issue 0000619: bad result of cookie_path() function

Manage gallery install on directly on root directory

Apply modifications from BSF (2006) ;-);0;1;0
2012;rvelices;Tue May 15 11:38:48 CST 2007;keyword search was not working comments.php;0;1;0
2013;rvelices;Tue May 15 11:41:02 CST 2007;merge -r 2012 from trunk to branch-1_7
keyword search was not working comments.php;0;1;0
2014;rub;Wed May 16 04:23:09 CST 2007;Replace some $lang by l10n;0;8;0
2015;rub;Wed May 16 04:26:56 CST 2007;Replace some $lang by l10n

Merge BSF 2013:2014 into branch-1_7;0;7;0
2016;rvelices;Wed May 16 13:08:46 CST 2007;admin multi view improvement: allow admins to change conf['show_queries'] and conf['debug_l10n'] for their session ...;0;2;0
2017;rvelices;Wed May 16 13:10:12 CST 2007;merge svn 2016 from trunk to branch-1_7
admin multi view improvement: allow admins to change conf['show_queries'] and conf['debug_l10n'] for their session ...;0;2;0
2018;rub;Fri May 18 06:08:31 CST 2007;Issue 0000691: Fix bad French translations
;0;1;0
2019;rub;Fri May 18 06:10:23 CST 2007;Issue 0000691: Fix bad French translations

Merge BSF 2017:2018 into branch-1_7;0;1;0
2020;rvelices;Sat May 19 07:34:54 CST 2007;- invalid html in page banner on admin page might interfere with actual page;0;1;0
2021;rvelices;Sat May 19 07:36:55 CST 2007;merge r2020 from branch 17 to trunk
- invalid html in page banner on admin page might interfere with actual page;0;1;0
2022;vdigital;Thu May 24 04:07:04 CST 2007;Bug: Conformity issue, empty categories create errors.;0;1;0
2023;vdigital;Thu May 24 04:13:49 CST 2007;Bug: Conformity issue, empty categories create errors. [Manual merge];0;1;0
2024;rub;Fri May 25 23:51:40 CST 2007;Resolved issue 0000693: guest & default users can to be deleted
;0;4;0
2025;rub;Fri May 25 23:59:39 CST 2007;Resolved issue 0000693: guest & default users can to be deleted

Merge BSF 2023:2024 into branch-1_7;0;3;0
2026;rub;Sat May 26 06:02:47 CST 2007;Improvement of picture url built ;0;3;0
2027;plg;Mon May 28 16:13:30 CST 2007;Cosmetic: make get_comment_post_key function more readable.
;0;1;0
2028;chrisaga;Sat Jun 02 19:00:55 CST 2007;update: some more files to save before upgrading;0;2;0
2029;rub;Wed Jun 06 06:01:15 CST 2007;Resolved issue 0000697: with generic user a author name is necessary to comment picture.

+ Change way to determinate if user is a guest (use functions like is_admin)
;0;16;0
2030;rub;Fri Jun 08 02:50:25 CST 2007;Resolved issue 0000702: Code Injection with picture comment
;0;4;0
2031;rub;Fri Jun 08 02:52:40 CST 2007;Resolved issue 0000702: Code Injection with picture comment

Merge BSF 2029:2030 into branch-1_7;0;4;0
2032;rub;Mon Jun 11 06:01:18 CST 2007;Resolved issue 0000489: Mail address obligatory
;1;9;0
2033;vdigital;Wed Jun 13 05:52:46 CST 2007;Bug 0000705: Upload error with incomplete URL.
+ Broken link in Admin/intro.php;0;2;0
2034;vdigital;Wed Jun 13 06:00:59 CST 2007;Bug 0000705: Upload error with incomplete URL.
+ Broken link in Admin/intro.php;0;2;0
2035;rub;Wed Jun 13 13:14:54 CST 2007;Enhancement for the plugin development:
  o Add footer block
  o Add useful triggers on template object;0;3;0
2036;rub;Wed Jun 13 13:17:22 CST 2007;Enhancement for the plugin development:
  o Add footer block
  o Add useful triggers on template object

Merge branch-1_7 2034:2035 into BSF;0;2;0
2037;rub;Tue Jun 19 13:28:19 CST 2007;Add directories to ignore list;0;2;0
2038;rub;Fri Jun 22 04:49:45 CST 2007;Resolved issue 0000708: Error on synchronization

Resolved issue 0000709: Error with $conf['default_admin_layout']

;0;3;0
2039;rub;Fri Jun 22 04:55:49 CST 2007;Error on my last commit 2038
;0;1;0
2040;rub;Fri Jun 22 05:00:09 CST 2007;Resolved issue 0000708: Error on synchronization

Resolved issue 0000709: Error with $conf['default_admin_layout']

Merge BSF 2037:2039 into branch-1_7;0;3;0
2041;rub;Sat Jun 23 05:02:55 CST 2007;Resolved issue 0000711: Add triggers and template block in order to add quickly new informations
;0;2;0
2042;rub;Sat Jun 23 05:05:37 CST 2007;Resolved issue 0000711: Add triggers and template block in order to add quickly new informations

Merge BSF 2040:2041 into branch-1_7
;0;2;0
2043;rvelices;Sun Jun 24 03:40:38 CST 2007;quick search results improvement: elements with the same relevance are ordered using the global order_bye;0;1;0
2044;rvelices;Sun Jun 24 03:42:56 CST 2007;merge 2043 from trunk to branch-1_7
quick search results improvement: elements with the same relevance are ordered using the global order_by ;0;1;0
2045;rvelices;Tue Jun 26 09:23:39 CST 2007;removed the quick search text in the menubar (above the input);0;5;0
2046;rvelices;Thu Jun 28 06:50:36 CST 2007;- when gallery is locked, the status header is set to 503 (Service unavailable)
- small improvement in admin template (text near checkboxes goes inside <label> element);0;2;0
2047;rvelices;Thu Jun 28 10:16:03 CST 2007;feature 713: allow permalinks to contain the slash ("/") character;0;5;0
2048;rvelices;Sat Jun 30 09:40:19 CST 2007;- fix help files
- feature 695 added action loc_user_profile_updated in profile.php
- added event allow_increment_element_hit_count in picture.php;0;4;0
2049;rub;Mon Jul 02 14:26:44 CST 2007;Resolved issue 0000715: Fix bad format of email with name contains special character.

+ Ignore all for plugins and theme directories;0;3;0
2050;rub;Mon Jul 02 14:36:53 CST 2007;Resolved issue 0000715: Best fix bad format of email with name contains special character.
;0;1;0
2051;rub;Mon Jul 02 14:38:45 CST 2007;Resolved issue 0000715: Fix bad format of email with name contains special character.

+ Ignore all for plugins and theme directories

Merge branch-1_7 2048:2050 into BSF
;0;3;0
2052;rvelices;Fri Jul 06 09:04:50 CST 2007;- fix set_status_header for fastCGI installations that are strict in terms of http protocol (1.0 or 1.1);0;2;0
2053;rvelices;Sat Jul 07 10:10:11 CST 2007;merge r2052 from branch-1_7 to trunk
- fix set_status_header for fastCGI installations that are strict in terms of http protocol (1.0 or 1.1);0;2;0
2054;rub;Sat Jul 07 17:22:11 CST 2007;Resolved issue 0000717: guest must be guest

;0;4;0
2055;rub;Sat Jul 07 17:23:04 CST 2007;Resolved issue 0000717: guest must be guest

;0;4;0
2056;rub;Tue Jul 10 06:13:12 CST 2007;Resolved issue 0000718: Add method "concat_var_from_handle" in template class

;0;1;0
2057;rub;Tue Jul 10 13:06:01 CST 2007;Rename trigger name loc_before_* by loc_begin_*;0;1;0
2058;rub;Tue Jul 10 13:09:05 CST 2007;Resolved issue 0000718: Add method "concat_var_from_handle" in template class

Rename trigger name loc_before_* by loc_begin_*

Merge branch-1_7 2048:2050 into BSF;0;1;0
2059;rub;Tue Jul 10 13:30:01 CST 2007;Change headers with team email;0;14;0
2060;rub;Tue Jul 10 13:35:56 CST 2007;Change headers with team email

Merge BSF 2058:2059 into branch-1_7
;0;14;0
2061;rvelices;Wed Jul 11 05:58:24 CST 2007;719 : Split purge history link into Purge summary and Purge details.
- add a confirmation box when purging history;0;4;0
2062;rvelices;Wed Jul 11 06:00:36 CST 2007;merge r2061 from branch 1.7 to trunk
feature 719 : Split purge history link into Purge summary and Purge details.
- add a confirmation box when purging history;0;4;0
2063;rvelices;Thu Jul 12 08:00:53 CST 2007;admin language and help file correction;0;4;0
2064;rvelices;Thu Jul 12 08:06:16 CST 2007;- merge -r2063 from branch-1_7 to trunk - admin language and help file correction;0;4;0
2065;rub;Thu Jul 19 06:48:50 CST 2007;Resolved issue 0000725: Check integrity

Replace actual test (exif) by a new dynamic system of check integrity.
Anomalies are listed with automatic correction if it's possible.

It's a proposition of new feature!;2;5;0
2066;rub;Fri Jul 20 03:52:09 CST 2007;Resolved issue 0000725: Check integrity

Move c13y translations on the block of version 1.7.1;0;2;0
2067;rub;Fri Jul 20 04:03:17 CST 2007;Resolved issue 0000725: Check integrity

Replace actual test (exif) by a new dynamic system of check integrity.
Anomalies are listed with automatic correction if it's possible.

Merge BSF 2064:2066 into branch-1_7
;2;5;0
2068;rub;Fri Jul 20 04:12:31 CST 2007;Move translations on good version block;0;2;0
2069;rvelices;Fri Jul 20 07:39:43 CST 2007;added 2 events: get_categories_menu_sql_where and get_html_menu_category in order to allow personalisation of the category menu;0;2;0
2070;rvelices;Fri Jul 20 07:45:57 CST 2007;merge -r2069 from branch-1_7 to trunk
added 2 events: get_categories_menu_sql_where and get_html_menu_category in order to allow personalisation of the category menu;0;2;0
2071;rub;Wed Jul 25 03:14:11 CST 2007;Resolved 0000726: script_basename returns bad result

With specific server configuration, script_basename returns bad result.;0;1;0
2072;rub;Wed Jul 25 03:16:02 CST 2007;Resolved 0000726: script_basename returns bad result

With specific server configuration, script_basename returns bad result.

Merge BSF 2070:2071 into branch-1_7
;0;1;0
2073;vdigital;Wed Jul 25 18:48:28 CST 2007;Revised to repsect HTML conformity and to remove a minor bug on template.
Only the real administrator template is used for the Controller page.;0;1;0
2074;laurent_duretz;Thu Jul 26 02:58:48 CST 2007;Issue 0000727: create_listing_file.php n'assigne pas la miniature aux fichiers non images;0;1;0
2075;laurent_duretz;Thu Jul 26 03:03:01 CST 2007;Issue 0000727: create_listing_file.php n'assigne pas la miniature aux fichiers non images;0;1;0
2076;laurent_duretz;Sat Aug 11 19:20:14 CST 2007;Issue : 0000729: Distant Site on http://members.lycos.co.uk/;0;1;0
2077;laurent_duretz;Sat Aug 11 19:21:37 CST 2007;Issue 0000729 : Distant Site on http://members.lycos.co.uk/;0;1;0
2078;rub;Sun Aug 26 07:08:02 CST 2007;Resolved 0000728: Add description triggers for categories and elements


Add:
  o render_category_description
  o render_category_literal_description
  o render_element_description;0;3;0
2079;rub;Sun Aug 26 07:10:12 CST 2007;Resolved 0000728: Add description triggers for categories and elements


Add:
  o render_category_description
  o render_category_literal_description
  o render_element_description

Merge branch-1_7 2048:2050 into BSF;0;4;0
2080;vdigital;Tue Aug 28 02:28:42 CST 2007;0000735: Hits were displayed twice on Most visited;0;1;0
2081;vdigital;Tue Aug 28 03:08:54 CST 2007;0000735: Hits were displayed twice on Most visited (manual merge);0;1;0
2082;rub;Thu Aug 30 13:30:19 CST 2007;Resolved 0000738: Double port on url;0;1;0
2083;rub;Thu Aug 30 13:32:37 CST 2007;Resolved 0000738: Double port on url

Merge branch-1_7 2048:2050 into BSF;0;1;0
2084;rvelices;Tue Sep 11 10:24:51 CST 2007;feature 731: permissions at image level 
- this is the first version - I wait for feedback before changing help files;1;12;0
2085;rub;Wed Sep 12 05:36:02 CST 2007;Resolved 0000744: pwg_log: image_type is always null
;0;1;0
2086;rub;Wed Sep 12 05:37:42 CST 2007;Resolved 0000744: pwg_log: image_type is always null

Merge branch-1_7 2048:2050 into BSF;0;1;0
2087;rvelices;Wed Sep 12 11:37:01 CST 2007;bug 376: improved get_available_tags sql queries for large databases;0;1;0
2088;rvelices;Wed Sep 12 11:52:16 CST 2007;urls used in http redirections must not be html escaped (eg. should use & instead of &amp;);0;3;0
2089;rvelices;Wed Sep 12 12:01:54 CST 2007;merge -r2088 from branch-1_7 to trunk
- urls used in http redirections must not be html escaped (eg. should use & instead of &amp;);0;4;0
2090;rvelices;Thu Sep 13 09:06:34 CST 2007;feature 731: permissions at image level
 - possibility to change image level from picture_modify
 - language change "Public" to "---"
 - possibility to sort users by level on user_list page;0;5;0
2091;rvelices;Fri Sep 14 07:30:46 CST 2007;- merge content of layout.css and popuphelp.css (very few lines) into existing css -> faster page loading the first time (avoid 2 http requests)
- optimized sql for $conf['display_fromto'] in category_cats.inc.php;0;3;2
2092;patdenice;Wed Sep 19 00:41:36 CST 2007;0000734: bug on tags edition;0;1;0
2093;patdenice;Wed Sep 19 01:53:05 CST 2007;0000734: bug on tags edition;0;1;0
2094;rvelices;Wed Sep 19 11:06:16 CST 2007;- fix: quick search error if the query term contained " or '
- optimized sql query in sync_users (called every time on admin page) - a lot faster when #user_cache_categories is big
- added function Template->delete_block_vars (opposite of assign_block_vars);0;4;0
2095;rvelices;Wed Sep 19 11:23:19 CST 2007;merge -r 2094 from branch-1_7 to trunk
- fix: quick search error if the query term contained " or '
- optimized sql query in sync_users (called every time on admin page) - a lot faster when #user_cache_categories is big
- added function Template->delete_block_vars (opposite of assign_block_vars);0;4;0
2096;rub;Wed Sep 19 13:26:58 CST 2007;Resolved 0000748: Name configuration of all the tables
Resolved 0000750: Check anomalies after upgrade (Feature proposition)
;13;5;0
2097;patdenice;Wed Sep 19 14:47:41 CST 2007;0000734: bug on tags edition
Useless functions removed;0;1;0
2098;patdenice;Wed Sep 19 14:49:39 CST 2007;0000734: bug on tags edition
Useless functions removed;0;1;0
2099;rvelices;Thu Sep 20 09:00:16 CST 2007;- fix very rare sql error (duplicate key) for rating;0;1;0
2100;rvelices;Thu Sep 20 12:33:10 CST 2007;merge -r 2099 from branch-1_7 to trunk + fix typo (replace get_cookie_var with set_cookie_var)
- fix very rare sql error (duplicate key) for rating;0;1;0
2101;rvelices;Fri Sep 21 07:45:23 CST 2007;- removed unused code from the calendar
- removed some unused css rules, simplified css a bit and made some rule grouping (nothing important);0;10;0
2102;patdenice;Fri Sep 21 17:06:00 CST 2007;0000421 : call a function to create empty local files during install and upgrade
Avoid log errors;0;3;0
2103;patdenice;Fri Sep 21 17:12:45 CST 2007;0000421 : call a function to create empty local files during install and upgrade
Avoid log errors;0;3;0
2104;rub;Sat Sep 22 05:23:09 CST 2007;Resolved 0000748: Name configuration of all the tables

New method of implementation!
;0;7;0
2105;rub;Wed Sep 26 05:49:21 CST 2007;Resolved 0000580: Send mail by define smtp configuration


;1;2;0
2106;rub;Wed Sep 26 05:52:00 CST 2007;Resolved 0000580: Send mail by define smtp configuration

Merge branch-1_7 2104:2105 into BSF;1;2;0
2107;rvelices;Fri Sep 28 06:46:17 CST 2007;- admin, comments and tags pages include page_header later in the code (as in picture and index) allowing plugins to change the header until the very end
- fix in admin.php : picture_modify requires cache invalidation
- fix in site_update.php : some echo func calls changed to $template->output .= ...
- upgraded prototype.js to latest version 1.5.1.1;0;6;0
2108;rvelices;Fri Sep 28 10:22:57 CST 2007;- remove unused css for IE7
- fix admin view plugin (due to a recent change elsewhere)
- remove an echo from admin/stats.php;0;4;0
2109;vdigital;Sat Sep 29 00:12:29 CST 2007;0000740: English sentence in French advices
and other languages minor corrections.;0;3;0
2110;rub;Sat Sep 29 18:01:54 CST 2007;Next of commit 2109
Change translation is best of change language keyword.;0;2;0
2111;rub;Sun Sep 30 06:36:00 CST 2007;Change initialization of $filter in order to prevent of problem with some systems;0;2;0
2112;rub;Sun Sep 30 06:38:49 CST 2007;Change initialization of $filter in order to prevent of problem with some systems

Merge BSF 2110:2111 into branch-1_7
;0;2;0
2113;patdenice;Mon Oct 01 23:46:04 CST 2007;0000749: Add an option to add new elements to caddie when synchronize database.
Add a redirection on index.php after "add to caddie action" (like on picture.php)
;0;5;0
2114;patdenice;Mon Oct 01 23:56:42 CST 2007;0000749: Add an option to add new elements to caddie when synchronize database.
Add a redirection on index.php after "add to caddie action" (like on picture.php);0;5;0
2115;rub;Tue Oct 02 06:07:47 CST 2007;Resolved 0000759: email unique for each user
;0;8;0
2116;rvelices;Tue Oct 02 07:39:21 CST 2007;- css change tabsheet is nicer than before (especially IE7); also tested in FF2 and IE6;0;5;0
2117;rvelices;Tue Oct 02 13:38:54 CST 2007;- render_category_description and render_category_literal_description events refactoring;0;6;0
2118;rvelices;Tue Oct 02 13:42:22 CST 2007;- merge r 2117 from trunk (render_category_description and render_category_literal_description events refactoring)
- fix admin multiview plugin;0;7;0
2119;rvelices;Thu Oct 04 07:36:21 CST 2007;- bug 755: admin permalinks page - fix category field sort
- web service functions: 1 fix and 3 optimizations;0;2;0
2120;rvelices;Thu Oct 04 07:38:37 CST 2007;merge rev 2119 from trunk
- bug 755: admin permalinks page - fix category field sort
- web service functions: 1 fix and 3 optimizations;0;2;0
2121;rvelices;Thu Oct 04 12:39:59 CST 2007;- mail subject and address names can contain accentuated characters (completely obsoleted str_translate_to_ascii7bits and lang_table_translate_ascii7bits but not yet removed from code);0;1;0
2122;rvelices;Sat Oct 06 06:46:10 CST 2007;- remove str_translate_to_ascii7bits and lang_table_translate_ascii7bits;0;4;0
2123;rvelices;Sat Oct 06 06:56:22 CST 2007;- function str2url is compatible with utf-8
- removed some old code (useless);0;2;0
2124;rub;Sat Oct 06 14:41:18 CST 2007;Resolved 0000759: email unique for each user

Fix bug of last commit 2115;0;3;0
2125;rvelices;Tue Oct 09 07:13:56 CST 2007;merge revisions 2121, 2122 and 2123 from trunk to branch-1_7
- function str2url is compatible with utf-8
- removed some old code (useless)
- remove str_translate_to_ascii7bits and lang_table_translate_ascii7bits
- mail subject and address names can contain accentuated characters;0;5;0
2126;rvelices;Tue Oct 09 07:46:09 CST 2007;- some code refactoring before upgrade to utf (only cosmetic at this point...);0;15;0
2127;rvelices;Tue Oct 09 09:43:29 CST 2007;- PWG_CHARSET, DB_CHARSET and DB_COLLATE... utf-8 ready;1;10;0
2128;rub;Wed Oct 10 05:34:03 CST 2007;Fix some little bugs on mail functions;0;1;0
2129;rub;Wed Oct 10 05:35:31 CST 2007;Fix some little bugs on mail functions
;0;2;0
2130;plg;Wed Oct 10 05:39:15 CST 2007;Part of feature 32: fr_FR.iso-8859-1 and en_UK.iso-8859-1 contents become
utf-8 encoded and the directory names lose encoding information as the only
supported encoding becomes utf-8.
;2;22;2
2131;plg;Wed Oct 10 06:17:50 CST 2007;Part of feature 32, plugin languages: fr_FR.iso-8859-1 and en_UK.iso-8859-1
contents become utf-8 encoded and the directory names lose encoding
information as the only supported encoding becomes utf-8.
;6;5;6
2132;rvelices;Wed Oct 10 06:43:09 CST 2007;- RSS feed is PWG charset
- iptc are now converted from iso-8859-1 or utf-8 (automatic detection) to pwg charset
- remove function get_language_filepath
- load_language also checks for the default language
;0;5;0
2133;rub;Wed Oct 10 07:03:30 CST 2007;Commit 2128 was done with a latest version.
Fix my mistake!;0;1;0
2134;rvelices;Thu Oct 11 08:10:41 CST 2007;- changed htmlentities to htmlspecialchars in comments.php (utf-8 issue)
- web service explorer in utf-8
- removed warning in function load_language
- feature: show_queries also shows number of selected rows or number of affected rows;0;3;0
2135;rvelices;Fri Oct 12 11:27:34 CST 2007;- fix plugin menu link broken with xamp (realpath behaves differently)
- complete quick search rewriting
 - now we can quote phrases as in google "New York" is not the same as New York
 - user comments not searched anymore (faster)
 - the big full text query does not use joins anymore (faster)
 - related tags not shown on the index page, but now you can see the matching tags and matching categories;0;10;0
2136;rub;Sat Oct 13 06:14:23 CST 2007;Replace htmlentities by htmlspecialchars on NBM in order to send a correct UTF8 mail.
Quote mail charset + add debug mail informations
Fix "check user with same mail" where null email was not discarded;0;5;0
2137;rvelices;Tue Oct 16 09:45:26 CST 2007;- fix plugin menu link broken with xamp (realpath behaves differently) (merge from trunk to branch 1_7)
- added some meta_robots (noindex and nofollow) on popuphelp, search_rules and search seaction (googlebot gets crazy);0;5;0
2138;rvelices;Tue Oct 16 09:46:09 CST 2007;- quick search optimizations (less queries)
- added some meta_robots (noindex and nofollow) on popuphelp, search_rules and search seaction (googlebot gets crazy);0;5;0
2139;rub;Wed Oct 17 04:45:00 CST 2007;Resolved issue 0000763: mail triggers:
Add triggers on mail part:
  o NBM
  o Group mail
  o process send mail

+ check groud_id null on group mail
;0;4;0
2140;rub;Wed Oct 17 05:18:11 CST 2007;Resolved issue 0000763: mail triggers:
Add triggers on mail part:
  o NBM
  o Group mail
  o process send mail

+ check group_id null on group mail

Merge branch-1_7 2138:2139 into BSF;0;4;0
2141;rub;Thu Oct 18 03:47:31 CST 2007;Convert file to UTF-8;0;2;0
2142;rub;Thu Oct 18 04:15:39 CST 2007;Add missing $lang;0;2;0
2143;rvelices;Fri Oct 19 10:04:24 CST 2007;feature 765: Sort alphabetically the admin plugin menus and plugin list;0;2;0
2144;rvelices;Fri Oct 19 10:05:21 CST 2007;merge r 2143 from branch-1_7 to trunk
feature 765: Sort alphabetically the admin plugin menus and plugin list
;0;2;0
2145;rub;Mon Oct 22 12:57:37 CST 2007;Add Spanish translations from ddtddt .;26;0;0
2146;rub;Mon Oct 22 13:03:30 CST 2007;Add Spanish translations from ddtddt .

Missing svn properties!;0;1;0
2147;rub;Tue Oct 23 05:07:14 CST 2007;"Are you sure!" was not translated.;0;1;0
2148;rub;Tue Oct 23 05:08:58 CST 2007;Plugin AddIndex: Add Spanish translations from ddtddt .;7;0;0
2149;rub;Tue Oct 23 05:11:47 CST 2007;Plugin c13y_upgrade: Add Spanish translations from ddtddt .;3;0;0
2150;rub;Tue Oct 23 05:22:04 CST 2007;Add capital letter on administration maintenance.;0;3;0
2151;rvelices;Tue Oct 23 08:08:48 CST 2007;- update last_check from time to time even if no news, so that we don't delete used feeds;0;1;0
2152;rvelices;Tue Oct 23 08:10:49 CST 2007;merge r 2151 from branch-1_7 to trunk
- update last_check from time to time even if no news, so that we don't delete used feeds;0;1;0
2153;rub;Sat Oct 27 06:09:16 CST 2007;Add Spanish translations from ddtddt .;0;1;0
2154;rvelices;Tue Oct 30 07:10:31 CST 2007;- send status code 403 when attempt to enter a comment, but comments are disabled
- added trigger wether we should increment hit count;0;2;0
2155;rvelices;Tue Oct 30 07:39:41 CST 2007;- send status code 403 when attempt to enter a user comment, but comments are disabled
- don't increase hit count when a comment is posted
- remove the check of user ip agains spamhaus.org when a comment is entered (my conclusion is that is useless);0;5;0
2156;rub;Fri Nov 02 01:06:15 CST 2007;Resolved issue 0000774: Statistics & plugin triggers => multi history

First part
;0;3;0
2157;rub;Fri Nov 02 01:11:52 CST 2007;Resolved issue 0000774: Statistics & plugin triggers => multi history

First part

Merge branch-1_7 2155:2156 into BSF
;0;3;0
2158;rvelices;Fri Nov 02 07:06:52 CST 2007;fix: in page_header.php U_HOME template var was overwriting the ones from every page -> now it is always make_index_url
fix: unvalidated comments use start end for RSS instead of end only (otherwise google reader creates a new item every time it downloads the feed);0;2;0
2159;rvelices;Fri Nov 02 07:08:27 CST 2007;merge -r 2158 from branch-1_7 to trunk
fix: in page_header.php U_HOME template var was overwriting the ones from every page -> now it is always make_index_url
fix: unvalidated comments use start end for RSS instead of end only (otherwise google reader creates a new item every time it downloads the feed);0;2;0
2160;patdenice;Sun Nov 18 22:54:18 CST 2007;Add plugin "Extended Description".
This plugin allow multilanguage descriptions.;3;0;0
2161;vdigital;Mon Nov 19 03:59:33 CST 2007;New: Language Switch plugin support;14;1;0
2162;vdigital;Tue Nov 20 03:51:54 CST 2007;Minor code review;0;2;0
2163;vdigital;Tue Nov 20 04:12:22 CST 2007;Add is_generic function;0;1;0
2164;vdigital;Wed Nov 21 05:37:05 CST 2007;Czech language flag
Corrective: remove unneeded load_language() calls.;1;1;0
2165;rub;Wed Nov 21 06:04:42 CST 2007;Change language_switch index file;2;1;1
